,Car,Date,Grand Prix,Laps,Time,Winner
416,McLaren TAG,18 Aug 1985,Austria,52,1:20:12.583,AlainProst
417,McLaren TAG,25 Aug 1985,Netherlands,70,1:32:29.263,NikiLauda
418,McLaren TAG,08 Sep 1985,Italy,51,1:17:59.451,AlainProst
419,Lotus Renault,15 Sep 1985,Belgium,43,1:34:19.893,AyrtonSenna
420,Williams Honda,06 Oct 1985,Europe,75,1:32:58.109,NigelMansell
421,Williams Honda,19 Oct 1985,South Africa,75,1:28:22.866,NigelMansell
422,Williams Honda,03 Nov 1985,Australia,82,2:00:40.473,KekeRosberg
423,Williams Honda,23 Mar 1986,Brazil,61,1:39:32.583,NelsonPiquet
424,Lotus Renault,13 Apr 1986,Spain,72,1:48:47.735,AyrtonSenna
425,McLaren TAG,27 Apr 1986,San Marino,60,1:32:28.408,AlainProst
426,McLaren TAG,11 May 1986,Monaco,78,1:55:41.060,AlainProst
427,Williams Honda,25 May 1986,Belgium,43,1:27:57.925,NigelMansell
428,Williams Honda,15 Jun 1986,Canada,69,1:42:26.415,NigelMansell
429,Lotus Renault,22 Jun 1986,Detroit,63,1:51:12.847,AyrtonSenna
430,Williams Honda,06 Jul 1986,France,80,1:37:19.272,NigelMansell
431,Williams Honda,13 Jul 1986,Great Britain,75,1:30:38.471,NigelMansell
432,Williams Honda,27 Jul 1986,Germany,44,1:22:08.263,NelsonPiquet
433,Williams Honda,10 Aug 1986,Hungary,76,2:00:34.508,NelsonPiquet
434,McLaren TAG,17 Aug 1986,Austria,52,1:21:22.531,AlainProst
435,Williams Honda,07 Sep 1986,Italy,51,1:17:42.889,NelsonPiquet
436,Williams Honda,21 Sep 1986,Portugal,70,1:37:21.900,NigelMansell
437,Benetton BMW,12 Oct 1986,Mexico,68,1:33:18.700,GerhardBerger
438,McLaren TAG,26 Oct 1986,Australia,82,1:54:20.388,AlainProst
439,McLaren TAG,12 Apr 1987,Brazil,61,1:39:45.141,AlainProst
440,Williams Honda,03 May 1987,San Marino,59,1:31:24.076,NigelMansell
441,McLaren TAG,17 May 1987,Belgium,43,1:27:03.217,AlainProst
442,Lotus Honda,31 May 1987,Monaco,78,1:57:54.085,AyrtonSenna
443,Lotus Honda,21 Jun 1987,Detroit,63,1:50:16.358,AyrtonSenna
444,Williams Honda,05 Jul 1987,France,80,1:37:03.839,NigelMansell
445,Williams Honda,12 Jul 1987,Great Britain,65,1:19:11.780,NigelMansell
446,Williams Honda,26 Jul 1987,Germany,44,1:21:25.091,NelsonPiquet
447,Williams Honda,09 Aug 1987,Hungary,76,1:59:26.793,NelsonPiquet
448,Williams Honda,16 Aug 1987,Austria,52,1:18:44.898,NigelMansell
449,Williams Honda,06 Sep 1987,Italy,50,1:14:47.707,NelsonPiquet
450,McLaren TAG,20 Sep 1987,Portugal,70,1:37:03.906,AlainProst
451,Williams Honda,27 Sep 1987,Spain,72,1:49:12.692,NigelMansell
452,Williams Honda,18 Oct 1987,Mexico,63,1:26:24.207,NigelMansell
453,Ferrari,01 Nov 1987,Japan,51,1:32:58.072,GerhardBerger
454,Ferrari,15 Nov 1987,Australia,82,1:52:56.144,GerhardBerger
455,McLaren Honda,03 Apr 1988,Brazil,60,1:36:06.857,AlainProst
456,McLaren Honda,01 May 1988,San Marino,60,1:32:41.264,AyrtonSenna
457,McLaren Honda,15 May 1988,Monaco,78,1:57:17.077,AlainProst
458,McLaren Honda,29 May 1988,Mexico,67,1:30:15.737,AlainProst
459,McLaren Honda,12 Jun 1988,Canada,69,1:39:46.618,AyrtonSenna
460,McLaren Honda,19 Jun 1988,Detroit,63,1:54:56.035,AyrtonSenna
461,McLaren Honda,03 Jul 1988,France,80,1:37:37.328,AlainProst
462,McLaren Honda,10 Jul 1988,Great Britain,65,1:33:16.367,AyrtonSenna
463,McLaren Honda,24 Jul 1988,Germany,44,1:32:54.188,AyrtonSenna
464,McLaren Honda,07 Aug 1988,Hungary,76,1:57:47.081,AyrtonSenna
465,McLaren Honda,28 Aug 1988,Belgium,43,1:28:00.549,AyrtonSenna
466,Ferrari,11 Sep 1988,Italy,51,1:17:39.744,GerhardBerger
467,McLaren Honda,25 Sep 1988,Portugal,70,1:37:40.958,AlainProst
468,McLaren Honda,02 Oct 1988,Spain,72,1:48:43.851,AlainProst
469,McLaren Honda,30 Oct 1988,Japan,51,1:33:26.173,AyrtonSenna
470,McLaren Honda,13 Nov 1988,Australia,82,1:53:14.676,AlainProst
471,Ferrari,26 Mar 1989,Brazil,61,1:38:58.744,NigelMansell
472,McLaren Honda,23 Apr 1989,San Marino,58,1:26:51.245,AyrtonSenna
473,McLaren Honda,07 May 1989,Monaco,77,1:53:33.251,AyrtonSenna
474,McLaren Honda,28 May 1989,Mexico,69,1:35:21.431,AyrtonSenna
475,McLaren Honda,04 Jun 1989,United States,75,2:01:33.133,AlainProst
476,Williams Renault,18 Jun 1989,Canada,69,2:01:24.073,ThierryBoutsen
477,McLaren Honda,09 Jul 1989,France,80,1:38:29.411,AlainProst
478,McLaren Honda,16 Jul 1989,Great Britain,64,1:19:22.131,AlainProst
479,McLaren Honda,30 Jul 1989,Germany,45,1:21:43.302,AyrtonSenna
480,Ferrari,13 Aug 1989,Hungary,77,1:49:38.650,NigelMansell
481,McLaren Honda,27 Aug 1989,Belgium,44,1:40:54.196,AyrtonSenna
482,McLaren Honda,10 Sep 1989,Italy,53,1:19:27.550,AlainProst
483,Ferrari,24 Sep 1989,Portugal,71,1:36:48.546,GerhardBerger
484,McLaren Honda,01 Oct 1989,Spain,72,1:47:48.264,AyrtonSenna
485,Benetton Ford,22 Oct 1989,Japan,53,1:35:06.277,AlessandroNannini
486,Williams Renault,05 Nov 1989,Australia,70,2:00:17.421,ThierryBoutsen
487,McLaren Honda,11 Mar 1990,United States,72,1:52:32.829,AyrtonSenna
488,Ferrari,25 Mar 1990,Brazil,71,1:37:21.258,AlainProst
489,Williams Renault,13 May 1990,San Marino,61,1:30:55.478,RiccardoPatrese
490,McLaren Honda,27 May 1990,Monaco,78,1:52:46.982,AyrtonSenna
491,McLaren Honda,10 Jun 1990,Canada,70,1:42:56.400,AyrtonSenna
492,Ferrari,24 Jun 1990,Mexico,69,1:32:35.783,AlainProst
493,Ferrari,08 Jul 1990,France,80,1:33:29.606,AlainProst
494,Ferrari,15 Jul 1990,Great Britain,64,1:18:30.999,AlainProst
495,McLaren Honda,29 Jul 1990,Germany,45,1:20:47.164,AyrtonSenna
496,Williams Renault,12 Aug 1990,Hungary,77,1:49:30.597,ThierryBoutsen
497,McLaren Honda,26 Aug 1990,Belgium,44,1:26:31.997,AyrtonSenna
498,McLaren Honda,09 Sep 1990,Italy,53,1:17:57.878,AyrtonSenna
499,Ferrari,23 Sep 1990,Portugal,61,1:22:11.014,NigelMansell
500,Ferrari,30 Sep 1990,Spain,73,1:48:01.461,AlainProst
501,Benetton Ford,21 Oct 1990,Japan,53,1:34:36.824,NelsonPiquet
502,Benetton Ford,04 Nov 1990,Australia,81,1:49:44.570,NelsonPiquet
503,McLaren Honda,10 Mar 1991,United States,81,2:00:47.828,AyrtonSenna
504,McLaren Honda,24 Mar 1991,Brazil,71,1:38:28.128,AyrtonSenna
505,McLaren Honda,28 Apr 1991,San Marino,61,1:35:14.750,AyrtonSenna
506,McLaren Honda,12 May 1991,Monaco,78,1:53:02.334,AyrtonSenna
507,Benetton Ford,02 Jun 1991,Canada,69,1:38:51.490,NelsonPiquet
508,Williams Renault,16 Jun 1991,Mexico,67,1:29:52.205,RiccardoPatrese
509,Williams Renault,07 Jul 1991,France,72,1:38:00.056,NigelMansell
510,Williams Renault,14 Jul 1991,Great Britain,59,1:27:35.479,NigelMansell
511,Williams Renault,28 Jul 1991,Germany,45,1:19:29.661,NigelMansell
512,McLaren Honda,11 Aug 1991,Hungary,77,1:49:12.796,AyrtonSenna
513,McLaren Honda,25 Aug 1991,Belgium,44,1:27:17.669,AyrtonSenna
514,Williams Renault,08 Sep 1991,Italy,53,1:17:54.319,NigelMansell
515,Williams Renault,22 Sep 1991,Portugal,71,1:35:42.304,RiccardoPatrese
516,Williams Renault,29 Sep 1991,Spain,65,1:38:41.541,NigelMansell
517,McLaren Honda,20 Oct 1991,Japan,53,1:32:10.695,GerhardBerger
518,McLaren Honda,03 Nov 1991,Australia,14,24:34.899,AyrtonSenna
519,Williams Renault,01 Mar 1992,South Africa,72,1:36:45.320,NigelMansell
520,Williams Renault,22 Mar 1992,Mexico,69,1:31:53.587,NigelMansell
521,Williams Renault,05 Apr 1992,Brazil,71,1:36:51.856,NigelMansell
522,Williams Renault,03 May 1992,Spain,65,1:56:10.674,NigelMansell
523,Williams Renault,17 May 1992,San Marino,60,1:28:40.927,NigelMansell
524,McLaren Honda,31 May 1992,Monaco,78,1:50:59.372,AyrtonSenna
525,McLaren Honda,14 Jun 1992,Canada,69,1:37:08.299,GerhardBerger
526,Williams Renault,05 Jul 1992,France,69,1:38:08.459,NigelMansell
527,Williams Renault,12 Jul 1992,Great Britain,59,1:25:42.991,NigelMansell
528,Williams Renault,26 Jul 1992,Germany,45,1:18:22.032,NigelMansell
529,McLaren Honda,16 Aug 1992,Hungary,77,1:46:19.216,AyrtonSenna
530,Benetton Ford,30 Aug 1992,Belgium,44,1:36:10.721,MichaelSchumacher
531,McLaren Honda,13 Sep 1992,Italy,53,1:18:15.349,AyrtonSenna
532,Williams Renault,27 Sep 1992,Portugal,71,1:34:46.659,NigelMansell
533,Williams Renault,25 Oct 1992,Japan,53,1:33:09.553,RiccardoPatrese
534,McLaren Honda,08 Nov 1992,Australia,82,1:46:54.786,GerhardBerger
535,Williams Renault,14 Mar 1993,South Africa,72,1:38:45.082,AlainProst
536,McLaren Ford,28 Mar 1993,Brazil,71,1:51:15.485,AyrtonSenna
537,McLaren Ford,11 Apr 1993,Europe,76,1:50:46.570,AyrtonSenna
538,Williams Renault,25 Apr 1993,San Marino,61,1:33:20.413,AlainProst
539,Williams Renault,09 May 1993,Spain,65,1:32:27.685,AlainProst
540,McLaren Ford,23 May 1993,Monaco,78,1:52:10.947,AyrtonSenna
541,Williams Renault,13 Jun 1993,Canada,69,1:36:41.822,AlainProst
542,Williams Renault,04 Jul 1993,France,72,1:38:35.241,AlainProst
543,Williams Renault,11 Jul 1993,Great Britain,59,1:25:38.189,AlainProst
544,Williams Renault,25 Jul 1993,Germany,45,1:18:40.885,AlainProst
545,Williams Renault,15 Aug 1993,Hungary,77,1:47:39.098,DamonHill
546,Williams Renault,29 Aug 1993,Belgium,44,1:24:32.124,DamonHill
547,Williams Renault,12 Sep 1993,Italy,53,1:17:07.509,DamonHill
548,Benetton Ford,26 Sep 1993,Portugal,71,1:32:46.309,MichaelSchumacher
549,McLaren Ford,24 Oct 1993,Japan,53,1:40:27.912,AyrtonSenna
