,Car,Date,Grand Prix,Laps,Time,Winner
660,McLaren Mercedes,13 Aug 2000,Hungary,77,1:45:33.869,MikaHakkinen
661,McLaren Mercedes,27 Aug 2000,Belgium,44,1:28:14.494,MikaHakkinen
662,Ferrari,10 Sep 2000,Italy,53,1:27:31.638,MichaelSchumacher
663,Ferrari,24 Sep 2000,United States,73,1:36:30.883,MichaelSchumacher
664,Ferrari,08 Oct 2000,Japan,53,1:29:53.435,MichaelSchumacher
665,Ferrari,22 Oct 2000,Malaysia,56,1:35:54.235,MichaelSchumacher
666,Ferrari,04 Mar 2001,Australia,58,1:38:26.533,MichaelSchumacher
667,Ferrari,18 Mar 2001,Malaysia,55,1:47:34.801,MichaelSchumacher
668,McLaren Mercedes,01 Apr 2001,Brazil,71,1:39:00.834,DavidCoulthard
669,Williams BMW,15 Apr 2001,San Marino,62,1:30:44.817,RalfSchumacher
670,Ferrari,29 Apr 2001,Spain,65,1:31:03.305,MichaelSchumacher
671,McLaren Mercedes,13 May 2001,Austria,71,1:27:45.927,DavidCoulthard
672,Ferrari,27 May 2001,Monaco,78,1:47:22.561,MichaelSchumacher
673,Williams BMW,10 Jun 2001,Canada,69,1:34:31.522,RalfSchumacher
674,Ferrari,24 Jun 2001,Europe,67,1:29:42.724,MichaelSchumacher
675,Ferrari,01 Jul 2001,France,72,1:33:35.636,MichaelSchumacher
676,McLaren Mercedes,15 Jul 2001,Great Britain,60,1:25:33.770,MikaHakkinen
677,Williams BMW,29 Jul 2001,Germany,45,1:18:17.873,RalfSchumacher
678,Ferrari,19 Aug 2001,Hungary,77,1:41:49.675,MichaelSchumacher
679,Ferrari,02 Sep 2001,Belgium,36,1:08:05.002,MichaelSchumacher
680,Williams BMW,16 Sep 2001,Italy,53,1:16:58.493,Juan PabloMontoya
681,McLaren Mercedes,30 Sep 2001,United States,73,1:32:42.840,MikaHakkinen
682,Ferrari,14 Oct 2001,Japan,53,1:27:33.298,MichaelSchumacher
683,Ferrari,03 Mar 2002,Australia,58,1:35:36.792,MichaelSchumacher
684,Williams BMW,17 Mar 2002,Malaysia,56,1:34:12.912,RalfSchumacher
685,Ferrari,31 Mar 2002,Brazil,71,1:31:43.663,MichaelSchumacher
686,Ferrari,14 Apr 2002,San Marino,62,1:29:10.789,MichaelSchumacher
687,Ferrari,28 Apr 2002,Spain,65,1:30:29.981,MichaelSchumacher
688,Ferrari,12 May 2002,Austria,71,1:33:51.562,MichaelSchumacher
689,McLaren Mercedes,26 May 2002,Monaco,78,1:45:39.055,DavidCoulthard
690,Ferrari,09 Jun 2002,Canada,70,1:33:36.111,MichaelSchumacher
691,Ferrari,23 Jun 2002,Europe,60,1:35:07.426,RubensBarrichello
692,Ferrari,07 Jul 2002,Great Britain,60,1:31:45.015,MichaelSchumacher
693,Ferrari,21 Jul 2002,France,72,1:32:09.837,MichaelSchumacher
694,Ferrari,28 Jul 2002,Germany,67,1:27:52.078,MichaelSchumacher
695,Ferrari,18 Aug 2002,Hungary,77,1:41:49.001,RubensBarrichello
696,Ferrari,01 Sep 2002,Belgium,44,1:21:20.634,MichaelSchumacher
697,Ferrari,15 Sep 2002,Italy,53,1:16:19.982,RubensBarrichello
698,Ferrari,29 Sep 2002,United States,73,1:31:07.934,RubensBarrichello
699,Ferrari,13 Oct 2002,Japan,53,1:26:59.698,MichaelSchumacher
700,McLaren Mercedes,09 Mar 2003,Australia,58,1:34:42.124,DavidCoulthard
701,McLaren Mercedes,23 Mar 2003,Malaysia,56,1:32:22.195,KimiRäikkönen
702,Jordan Ford,06 Apr 2003,Brazil,54,1:31:17.748,GiancarloFisichella
703,Ferrari,20 Apr 2003,San Marino,62,1:28:12.058,MichaelSchumacher
704,Ferrari,04 May 2003,Spain,65,1:33:46.933,MichaelSchumacher
705,Ferrari,18 May 2003,Austria,69,1:24:04.888,MichaelSchumacher
706,Williams BMW,01 Jun 2003,Monaco,78,1:42:19.010,Juan PabloMontoya
707,Ferrari,15 Jun 2003,Canada,70,1:31:13.591,MichaelSchumacher
708,Williams BMW,29 Jun 2003,Europe,60,1:34:43.622,RalfSchumacher
709,Williams BMW,06 Jul 2003,France,70,1:30:49.213,RalfSchumacher
710,Ferrari,20 Jul 2003,Great Britain,60,1:28:37.554,RubensBarrichello
711,Williams BMW,03 Aug 2003,Germany,67,1:28:48.769,Juan PabloMontoya
712,Renault,24 Aug 2003,Hungary,70,1:39:01.460,FernandoAlonso
713,Ferrari,14 Sep 2003,Italy,53,1:14:19.838,MichaelSchumacher
714,Ferrari,28 Sep 2003,United States,73,1:33:35.997,MichaelSchumacher
715,Ferrari,12 Oct 2003,Japan,53,1:25:11.743,RubensBarrichello
716,Ferrari,07 Mar 2004,Australia,58,1:24:15.757,MichaelSchumacher
717,Ferrari,21 Mar 2004,Malaysia,56,1:31:07.490,MichaelSchumacher
718,Ferrari,04 Apr 2004,Bahrain,57,1:28:34.875,MichaelSchumacher
719,Ferrari,25 Apr 2004,San Marino,62,1:26:19.670,MichaelSchumacher
720,Ferrari,09 May 2004,Spain,66,1:27:32.841,MichaelSchumacher
721,Renault,23 May 2004,Monaco,77,1:45:46.601,JarnoTrulli
722,Ferrari,30 May 2004,Europe,60,1:32:35.101,MichaelSchumacher
723,Ferrari,13 Jun 2004,Canada,70,1:28:24.803,MichaelSchumacher
724,Ferrari,20 Jun 2004,United States,73,1:40:29.914,MichaelSchumacher
725,Ferrari,04 Jul 2004,France,70,1:30:18.133,MichaelSchumacher
726,Ferrari,11 Jul 2004,Great Britain,60,1:24:42.700,MichaelSchumacher
727,Ferrari,25 Jul 2004,Germany,66,1:23:54.848,MichaelSchumacher
728,Ferrari,15 Aug 2004,Hungary,70,1:35:26.131,MichaelSchumacher
729,McLaren Mercedes,29 Aug 2004,Belgium,44,1:32:35.274,KimiRäikkönen
730,Ferrari,12 Sep 2004,Italy,53,1:15:18.448,RubensBarrichello
731,Ferrari,26 Sep 2004,China,56,1:29:12.420,RubensBarrichello
732,Ferrari,10 Oct 2004,Japan,53,1:24:26.985,MichaelSchumacher
733,Williams BMW,24 Oct 2004,Brazil,71,1:28:01.451,Juan PabloMontoya
734,Renault,06 Mar 2005,Australia,57,1:24:17.336,GiancarloFisichella
735,Renault,20 Mar 2005,Malaysia,56,1:31:33.736,FernandoAlonso
736,Renault,03 Apr 2005,Bahrain,57,1:29:18.531,FernandoAlonso
737,Renault,24 Apr 2005,San Marino,62,1:27:41.921,FernandoAlonso
738,McLaren Mercedes,08 May 2005,Spain,66,1:27:16.830,KimiRäikkönen
739,McLaren Mercedes,22 May 2005,Monaco,78,1:45:15.556,KimiRäikkönen
740,Renault,29 May 2005,Europe,59,1:31:46.648,FernandoAlonso
741,McLaren Mercedes,12 Jun 2005,Canada,70,1:32:09.290,KimiRäikkönen
742,Ferrari,19 Jun 2005,United States,73,1:29:43.181,MichaelSchumacher
743,Renault,03 Jul 2005,France,70,1:31:22.233,FernandoAlonso
744,McLaren Mercedes,10 Jul 2005,Great Britain,60,1:24:29.588,Juan PabloMontoya
745,Renault,24 Jul 2005,Germany,67,1:26:28.599,FernandoAlonso
746,McLaren Mercedes,31 Jul 2005,Hungary,70,1:37:25.552,KimiRäikkönen
747,McLaren Mercedes,21 Aug 2005,Turkey,58,1:24:34.454,KimiRäikkönen
748,McLaren Mercedes,04 Sep 2005,Italy,53,1:14:28.659,Juan PabloMontoya
749,McLaren Mercedes,11 Sep 2005,Belgium,44,1:30:01.295,KimiRäikkönen
750,McLaren Mercedes,25 Sep 2005,Brazil,71,1:29:20.574,Juan PabloMontoya
751,McLaren Mercedes,09 Oct 2005,Japan,53,1:29:02.212,KimiRäikkönen
752,Renault,16 Oct 2005,China,56,1:39:53.618,FernandoAlonso
753,Renault,12 Mar 2006,Bahrain,57,1:29:46.205,FernandoAlonso
754,Renault,19 Mar 2006,Malaysia,56,1:30:40.529,GiancarloFisichella
755,Renault,02 Apr 2006,Australia,57,1:34:27.870,FernandoAlonso
756,Ferrari,23 Apr 2006,San Marino,62,1:31:06.486,MichaelSchumacher
757,Ferrari,07 May 2006,Europe,60,1:35:58.765,MichaelSchumacher
758,Renault,14 May 2006,Spain,66,1:26:21.759,FernandoAlonso
759,Renault,28 May 2006,Monaco,78,1:43:43.116,FernandoAlonso
760,Renault,11 Jun 2006,Great Britain,60,1:25:51.927,FernandoAlonso
761,Renault,25 Jun 2006,Canada,70,1:34:37.308,FernandoAlonso
762,Ferrari,02 Jul 2006,United States,73,1:34:35.199,MichaelSchumacher
763,Ferrari,16 Jul 2006,France,70,1:32:07.803,MichaelSchumacher
764,Ferrari,30 Jul 2006,Germany,67,1:27:51.693,MichaelSchumacher
765,Honda,06 Aug 2006,Hungary,70,1:52:20.941,JensonButton
766,Ferrari,27 Aug 2006,Turkey,58,1:28:51.082,FelipeMassa
767,Ferrari,10 Sep 2006,Italy,53,1:14:51.975,MichaelSchumacher
768,Ferrari,01 Oct 2006,China,56,1:37:32.747,MichaelSchumacher
769,Renault,08 Oct 2006,Japan,53,1:23:53.413,FernandoAlonso
770,Ferrari,22 Oct 2006,Brazil,71,1:31:53.751,FelipeMassa
771,Ferrari,18 Mar 2007,Australia,58,1:25:28.770,KimiRäikkönen
772,McLaren Mercedes,08 Apr 2007,Malaysia,56,1:32:14.930,FernandoAlonso
773,Ferrari,15 Apr 2007,Bahrain,57,1:33:27.515,FelipeMassa
774,Ferrari,13 May 2007,Spain,65,1:31:36.230,FelipeMassa
775,McLaren Mercedes,27 May 2007,Monaco,78,1:40:29.329,FernandoAlonso
776,McLaren Mercedes,10 Jun 2007,Canada,70,1:44:11.292,LewisHamilton
777,McLaren Mercedes,17 Jun 2007,United States,73,1:31:09.965,LewisHamilton
778,Ferrari,01 Jul 2007,France,70,1:30:54.200,KimiRäikkönen
779,Ferrari,08 Jul 2007,Great Britain,59,1:21:43.074,KimiRäikkönen
780,McLaren Mercedes,22 Jul 2007,Europe,60,2:06:26.358,FernandoAlonso
781,McLaren Mercedes,05 Aug 2007,Hungary,70,1:35:52.991,LewisHamilton
782,Ferrari,26 Aug 2007,Turkey,58,1:26:42.161,FelipeMassa
783,McLaren Mercedes,09 Sep 2007,Italy,53,1:18:37.806,FernandoAlonso
784,Ferrari,16 Sep 2007,Belgium,44,1:20:39.066,KimiRäikkönen
785,McLaren Mercedes,30 Sep 2007,Japan,67,2:00:34.579,LewisHamilton
786,Ferrari,07 Oct 2007,China,56,1:37:58.395,KimiRäikkönen
787,Ferrari,21 Oct 2007,Brazil,71,1:28:15.270,KimiRäikkönen
788,McLaren Mercedes,16 Mar 2008,Australia,58,1:34:50.616,LewisHamilton
789,Ferrari,23 Mar 2008,Malaysia,56,1:31:18.555,KimiRäikkönen
790,Ferrari,06 Apr 2008,Bahrain,57,1:31:06.970,FelipeMassa
791,Ferrari,27 Apr 2008,Spain,66,1:38:19.051,KimiRäikkönen
792,Ferrari,11 May 2008,Turkey,58,1:26:49.451,FelipeMassa
793,McLaren Mercedes,25 May 2008,Monaco,76,2:00:42.742,LewisHamilton
794,Sauber BMW,08 Jun 2008,Canada,70,1:36:24.447,RobertKubica
795,Ferrari,22 Jun 2008,France,70,1:31:50.245,FelipeMassa
796,McLaren Mercedes,06 Jul 2008,Great Britain,60,1:39:09.440,LewisHamilton
797,McLaren Mercedes,20 Jul 2008,Germany,67,1:31:20.874,LewisHamilton
798,McLaren Mercedes,03 Aug 2008,Hungary,70,1:37:27.067,HeikkiKovalainen
799,Ferrari,24 Aug 2008,Europe,57,1:35:32.339,FelipeMassa
800,Ferrari,07 Sep 2008,Belgium,44,1:22:59.394,FelipeMassa
801,STR Ferrari,14 Sep 2008,Italy,53,1:26:47.494,SebastianVettel
802,Renault,28 Sep 2008,Singapore,61,1:57:16.304,FernandoAlonso
803,Renault,12 Oct 2008,Japan,67,1:30:21.892,FernandoAlonso
804,McLaren Mercedes,19 Oct 2008,China,56,1:31:57.403,LewisHamilton
805,Ferrari,02 Nov 2008,Brazil,71,1:34:11.435,FelipeMassa
806,Brawn Mercedes,29 Mar 2009,Australia,58,1:34:15.784,JensonButton
807,Brawn Mercedes,05 Apr 2009,Malaysia,31,55:30.622,JensonButton
808,RBR Renault,19 Apr 2009,China,56,1:57:43.485,SebastianVettel
809,Brawn Mercedes,26 Apr 2009,Bahrain,57,1:31:48.182,JensonButton
810,Brawn Mercedes,10 May 2009,Spain,66,1:37:19.202,JensonButton
811,Brawn Mercedes,24 May 2009,Monaco,78,1:40:44.282,JensonButton
812,Brawn Mercedes,07 Jun 2009,Turkey,58,1:26:24.848,JensonButton
813,RBR Renault,21 Jun 2009,Great Britain,60,1:22:49.328,SebastianVettel
814,RBR Renault,12 Jul 2009,Germany,60,1:36:43.310,MarkWebber
815,McLaren Mercedes,26 Jul 2009,Hungary,70,1:38:23.876,LewisHamilton
816,Brawn Mercedes,23 Aug 2009,Europe,57,1:35:51.289,RubensBarrichello
817,Ferrari,30 Aug 2009,Belgium,44,1:23:50.995,KimiRäikkönen
818,Brawn Mercedes,13 Sep 2009,Italy,53,1:16:21.706,RubensBarrichello
819,McLaren Mercedes,27 Sep 2009,Singapore,61,1:56:06.337,LewisHamilton
820,RBR Renault,04 Oct 2009,Japan,53,1:28:20.443,SebastianVettel
821,RBR Renault,18 Oct 2009,Brazil,71,1:32:23.081,MarkWebber
822,RBR Renault,01 Nov 2009,Abu Dhabi,55,1:34:03.414,SebastianVettel
823,Ferrari,14 Mar 2010,Bahrain,49,1:39:20.396,FernandoAlonso
824,McLaren Mercedes,28 Mar 2010,Australia,58,1:33:36.531,JensonButton
825,RBR Renault,04 Apr 2010,Malaysia,56,1:33:48.412,SebastianVettel
826,McLaren Mercedes,18 Apr 2010,China,56,1:46:42.163,JensonButton
827,RBR Renault,09 May 2010,Spain,66,1:35:44.101,MarkWebber
828,RBR Renault,16 May 2010,Monaco,78,1:50:13.355,MarkWebber
829,McLaren Mercedes,30 May 2010,Turkey,58,1:28:47.620,LewisHamilton
830,McLaren Mercedes,13 Jun 2010,Canada,70,1:33:53.456,LewisHamilton
831,RBR Renault,27 Jun 2010,Europe,57,1:40:29.571,SebastianVettel
832,RBR Renault,11 Jul 2010,Great Britain,52,1:24:38.200,MarkWebber
833,Ferrari,25 Jul 2010,Germany,67,1:27:38.864,FernandoAlonso
834,RBR Renault,01 Aug 2010,Hungary,70,1:41:05.571,MarkWebber
835,McLaren Mercedes,29 Aug 2010,Belgium,44,1:29:04.268,LewisHamilton
836,Ferrari,12 Sep 2010,Italy,53,1:16:24.572,FernandoAlonso
837,Ferrari,26 Sep 2010,Singapore,61,1:57:53.579,FernandoAlonso
838,RBR Renault,10 Oct 2010,Japan,53,1:30:27.323,SebastianVettel
839,Ferrari,24 Oct 2010,South Korea,55,2:48:20.810,FernandoAlonso
840,RBR Renault,07 Nov 2010,Brazil,71,1:33:11.803,SebastianVettel
841,RBR Renault,14 Nov 2010,Abu Dhabi,55,1:39:36.837,SebastianVettel
842,Red Bull Racing Renault,27 Mar 2011,Australia,58,1:29:30.259,SebastianVettel
843,Red Bull Racing Renault,10 Apr 2011,Malaysia,56,1:37:39.832,SebastianVettel
844,McLaren Mercedes,17 Apr 2011,China,56,1:36:58.226,LewisHamilton
845,Red Bull Racing Renault,08 May 2011,Turkey,58,1:30:17.558,SebastianVettel
846,Red Bull Racing Renault,22 May 2011,Spain,66,1:39:03.301,SebastianVettel
847,Red Bull Racing Renault,29 May 2011,Monaco,78,2:09:38.373,SebastianVettel
848,McLaren Mercedes,12 Jun 2011,Canada,70,4:04:39.537,JensonButton
849,Red Bull Racing Renault,26 Jun 2011,Europe,57,1:39:36.169,SebastianVettel
850,Ferrari,10 Jul 2011,Great Britain,52,1:28:41.196,FernandoAlonso
851,McLaren Mercedes,24 Jul 2011,Germany,60,1:37:30.334,LewisHamilton
852,McLaren Mercedes,31 Jul 2011,Hungary,70,1:46:42.337,JensonButton
853,Red Bull Racing Renault,28 Aug 2011,Belgium,44,1:26:44.893,SebastianVettel
854,Red Bull Racing Renault,11 Sep 2011,Italy,53,1:20:46.172,SebastianVettel
855,Red Bull Racing Renault,25 Sep 2011,Singapore,61,1:59:06.757,SebastianVettel
856,McLaren Mercedes,09 Oct 2011,Japan,53,1:30:53.427,JensonButton
857,Red Bull Racing Renault,16 Oct 2011,South Korea,55,1:38:01.994,SebastianVettel
858,Red Bull Racing Renault,30 Oct 2011,India,60,1:30:35.002,SebastianVettel
859,McLaren Mercedes,13 Nov 2011,Abu Dhabi,55,1:37:11.886,LewisHamilton
860,Red Bull Racing Renault,27 Nov 2011,Brazil,71,1:32:17.464,MarkWebber
861,McLaren Mercedes,18 Mar 2012,Australia,58,1:34:09.565,JensonButton
862,Ferrari,25 Mar 2012,Malaysia,56,2:44:51.812,FernandoAlonso
863,Mercedes,15 Apr 2012,China,56,1:36:26.929,NicoRosberg
864,Red Bull Racing Renault,22 Apr 2012,Bahrain,57,1:35:10.990,SebastianVettel
865,Williams Renault,13 May 2012,Spain,66,1:39:09.145,PastorMaldonado
866,Red Bull Racing Renault,27 May 2012,Monaco,78,1:46:06.557,MarkWebber
867,McLaren Mercedes,10 Jun 2012,Canada,70,1:32:29.586,LewisHamilton
868,Ferrari,24 Jun 2012,Europe,57,1:44:16.649,FernandoAlonso
869,Red Bull Racing Renault,08 Jul 2012,Great Britain,52,1:25:11.288,MarkWebber
870,Ferrari,22 Jul 2012,Germany,67,1:31:05.862,FernandoAlonso
871,McLaren Mercedes,29 Jul 2012,Hungary,69,1:41:05.503,LewisHamilton
872,McLaren Mercedes,02 Sep 2012,Belgium,44,1:29:08.530,JensonButton
873,McLaren Mercedes,09 Sep 2012,Italy,53,1:19:41.221,LewisHamilton
874,Red Bull Racing Renault,23 Sep 2012,Singapore,59,2:00:26.144,SebastianVettel
875,Red Bull Racing Renault,07 Oct 2012,Japan,53,1:28:56.242,SebastianVettel
876,Red Bull Racing Renault,14 Oct 2012,South Korea,55,1:36:28.651,SebastianVettel
877,Red Bull Racing Renault,28 Oct 2012,India,60,1:31:10.744,SebastianVettel
878,Lotus Renault,04 Nov 2012,Abu Dhabi,55,1:45:58.667,KimiRäikkönen
879,McLaren Mercedes,18 Nov 2012,United States,56,1:35:55.269,LewisHamilton
880,McLaren Mercedes,25 Nov 2012,Brazil,71,1:45:22.656,JensonButton
881,Lotus Renault,17 Mar 2013,Australia,58,1:30:03.225,KimiRäikkönen
882,Red Bull Racing Renault,24 Mar 2013,Malaysia,56,1:38:56.681,SebastianVettel
883,Ferrari,14 Apr 2013,China,56,1:36:26.945,FernandoAlonso
884,Red Bull Racing Renault,21 Apr 2013,Bahrain,57,1:36:00.498,SebastianVettel
885,Ferrari,12 May 2013,Spain,66,1:39:16.596,FernandoAlonso
886,Mercedes,26 May 2013,Monaco,78,2:17:52.056,NicoRosberg
887,Red Bull Racing Renault,09 Jun 2013,Canada,70,1:32:09.143,SebastianVettel
888,Mercedes,30 Jun 2013,Great Britain,52,1:32:59.456,NicoRosberg
889,Red Bull Racing Renault,07 Jul 2013,Germany,60,1:41:14.711,SebastianVettel
890,Mercedes,28 Jul 2013,Hungary,70,1:42:29.445,LewisHamilton
891,Red Bull Racing Renault,25 Aug 2013,Belgium,44,1:23:42.196,SebastianVettel
892,Red Bull Racing Renault,08 Sep 2013,Italy,53,1:18:33.352,SebastianVettel
893,Red Bull Racing Renault,22 Sep 2013,Singapore,61,1:59:13.132,SebastianVettel
894,Red Bull Racing Renault,06 Oct 2013,South Korea,55,1:43:13.701,SebastianVettel
895,Red Bull Racing Renault,13 Oct 2013,Japan,53,1:26:49.301,SebastianVettel
896,Red Bull Racing Renault,27 Oct 2013,India,60,1:31:12.187,SebastianVettel
897,Red Bull Racing Renault,03 Nov 2013,Abu Dhabi,55,1:38:06.106,SebastianVettel
898,Red Bull Racing Renault,17 Nov 2013,United States,56,1:39:17.148,SebastianVettel
899,Red Bull Racing Renault,24 Nov 2013,Brazil,71,1:32:36.300,SebastianVettel
900,Mercedes,16 Mar 2014,Australia,57,1:32:58.710,NicoRosberg
901,Mercedes,30 Mar 2014,Malaysia,56,1:40:25.974,LewisHamilton
902,Mercedes,06 Apr 2014,Bahrain,57,1:39:42.743,LewisHamilton
903,Mercedes,20 Apr 2014,China,54,1:33:28.338,LewisHamilton
904,Mercedes,11 May 2014,Spain,66,1:41:05.155,LewisHamilton
905,Mercedes,25 May 2014,Monaco,78,1:49:27.661,NicoRosberg
906,Red Bull Racing Renault,08 Jun 2014,Canada,70,1:39:12.830,DanielRicciardo
907,Mercedes,22 Jun 2014,Austria,71,1:27:54.976,NicoRosberg
908,Mercedes,06 Jul 2014,Great Britain,52,2:26:52.094,LewisHamilton
909,Mercedes,20 Jul 2014,Germany,67,1:33:42.914,NicoRosberg
910,Red Bull Racing Renault,27 Jul 2014,Hungary,70,1:53:05.058,DanielRicciardo
911,Red Bull Racing Renault,24 Aug 2014,Belgium,44,1:24:36.556,DanielRicciardo
912,Mercedes,07 Sep 2014,Italy,53,1:19:10.236,LewisHamilton
913,Mercedes,21 Sep 2014,Singapore,60,2:00:04.795,LewisHamilton
914,Mercedes,05 Oct 2014,Japan,44,1:51:43.021,LewisHamilton
915,Mercedes,21 Oct 2014,Russia,53,1:31:50.744,LewisHamilton
916,Mercedes,02 Nov 2014,United States,56,1:40:04.785,LewisHamilton
917,Mercedes,09 Nov 2014,Brazil,71,1:30:02.555,NicoRosberg
918,Mercedes,23 Nov 2014,Abu Dhabi,55,1:39:02.619,LewisHamilton
919,Mercedes,15 Mar 2015,Australia,58,1:31:54.067,LewisHamilton
920,Ferrari,29 Mar 2015,Malaysia,56,1:41:05.793,SebastianVettel
921,Mercedes,12 Apr 2015,China,56,1:39:42.008,LewisHamilton
922,Mercedes,19 Apr 2015,Bahrain,57,1:35:05.809,LewisHamilton
923,Mercedes,10 May 2015,Spain,66,1:41:12.555,NicoRosberg
924,Mercedes,24 May 2015,Monaco,78,1:49:18.420,NicoRosberg
925,Mercedes,07 Jun 2015,Canada,70,1:31:53.145,LewisHamilton
926,Mercedes,21 Jun 2015,Austria,71,1:30:16.930,NicoRosberg
927,Mercedes,05 Jul 2015,Great Britain,52,1:31:27.729,LewisHamilton
928,Ferrari,26 Jul 2015,Hungary,69,1:46:09.985,SebastianVettel
929,Mercedes,23 Aug 2015,Belgium,43,1:23:40.387,LewisHamilton
930,Mercedes,06 Sep 2015,Italy,53,1:18:00.688,LewisHamilton
931,Ferrari,20 Sep 2015,Singapore,61,2:01:22.118,SebastianVettel
932,Mercedes,27 Sep 2015,Japan,53,1:28:06.508,LewisHamilton
933,Mercedes,11 Oct 2015,Russia,53,1:37:11.024,LewisHamilton
934,Mercedes,25 Oct 2015,United States,56,1:50:52.703,LewisHamilton
935,Mercedes,01 Nov 2015,Mexico,71,1:42:35.038,NicoRosberg
936,Mercedes,15 Nov 2015,Brazil,71,1:31:09.090,NicoRosberg
937,Mercedes,29 Nov 2015,Abu Dhabi,55,1:38:30.175,NicoRosberg
938,Mercedes,20 Mar 2016,Australia,57,1:48:15.565,NicoRosberg
939,Mercedes,03 Apr 2016,Bahrain,57,1:33:34.696,NicoRosberg
940,Mercedes,17 Apr 2016,China,56,1:38:53.891,NicoRosberg
941,Mercedes,01 May 2016,Russia,53,1:32:41.997,NicoRosberg
942,Red Bull Racing TAG Heuer,15 May 2016,Spain,66,1:41:40.017,MaxVerstappen
943,Mercedes,29 May 2016,Monaco,78,1:59:29.133,LewisHamilton
944,Mercedes,12 Jun 2016,Canada,70,1:31:05.296,LewisHamilton
945,Mercedes,19 Jun 2016,Europe,51,1:32:52.366,NicoRosberg
946,Mercedes,03 Jul 2016,Austria,71,1:27:38.107,LewisHamilton
947,Mercedes,10 Jul 2016,Great Britain,52,1:34:55.831,LewisHamilton
948,Mercedes,24 Jul 2016,Hungary,70,1:40:30.115,LewisHamilton
949,Mercedes,31 Jul 2016,Germany,67,1:30:44.200,LewisHamilton
950,Mercedes,28 Aug 2016,Belgium,44,1:44:51.058,NicoRosberg
951,Mercedes,04 Sep 2016,Italy,53,1:17:28.089,NicoRosberg
952,Mercedes,18 Sep 2016,Singapore,61,1:55:48.950,NicoRosberg
953,Red Bull Racing TAG Heuer,02 Oct 2016,Malaysia,56,1:37:12.776,DanielRicciardo
954,Mercedes,09 Oct 2016,Japan,53,1:26:43.333,NicoRosberg
955,Mercedes,23 Oct 2016,United States,56,1:38:12.618,LewisHamilton
956,Mercedes,30 Oct 2016,Mexico,71,1:40:31.402,LewisHamilton
957,Mercedes,13 Nov 2016,Brazil,71,3:01:01.335,LewisHamilton
958,Mercedes,27 Nov 2016,Abu Dhabi,55,1:38:04.013,LewisHamilton
959,Ferrari,26 Mar 2017,Australia,57,1:24:11.672,SebastianVettel
960,Mercedes,09 Apr 2017,China,56,1:37:36.158,LewisHamilton
961,Ferrari,16 Apr 2017,Bahrain,57,1:33:53.374,SebastianVettel
962,Mercedes,30 Apr 2017,Russia,52,1:28:08.743,Valtteri Bottas
963,Mercedes,14 May 2017,Spain,66,1:35:56.497,LewisHamilton
964,Ferrari,28 May 2017,Monaco,78,1:44:44.340,SebastianVettel
965,Mercedes,11 Jun 2017,Canada,70,1:33:05.154,LewisHamilton
966,Red Bull Racing TAG Heuer,25 Jun 2017,Azerbaijan,51,2:03:55.573,DanielRicciardo
967,Mercedes,09 Jul 2017,Austria,71,1:21:48.523,Valtteri Bottas
968,Mercedes,16 Jul 2017,Great Britain,51,1:21:27.430,LewisHamilton
969,Ferrari,30 Jul 2017,Hungary,70,1:39:46.713,SebastianVettel
970,Mercedes,27 Aug 2017,Belgium,44,1:24:42.820,LewisHamilton
971,Mercedes,03 Sep 2017,Italy,53,1:15:32.312,LewisHamilton
972,Mercedes,17 Sep 2017,Singapore,58,2:03:23.544,LewisHamilton
973,Red Bull Racing TAG Heuer,01 Oct 2017,Malaysia,56,1:30:01.290,MaxVerstappen
974,Mercedes,08 Oct 2017,Japan,53,1:27:31.194,LewisHamilton
975,Mercedes,22 Oct 2017,United States,56,1:33:50.991,LewisHamilton
976,Red Bull Racing TAG Heuer,29 Oct 2017,Mexico,71,1:36:26.552,MaxVerstappen
977,Ferrari,12 Nov 2017,Brazil,71,1:31:26.262,SebastianVettel
978,Mercedes,26 Nov 2017,Abu Dhabi,55,1:34:14.062,Valtteri Bottas
979,Ferrari,25 Mar 2018,Australia,58,1:29:33.283,SebastianVettel
980,Ferrari,08 Apr 2018,Bahrain,57,1:32:01.940,SebastianVettel
981,Red Bull Racing TAG Heuer,15 Apr 2018,China,56,1:35:36.380,DanielRicciardo
982,Mercedes,29 Apr 2018,Azerbaijan,51,1:43:44.291,LewisHamilton
983,Mercedes,13 May 2018,Spain,66,1:35:29.972,LewisHamilton
984,Red Bull Racing TAG Heuer,27 May 2018,Monaco,78,1:42:54.807,DanielRicciardo
985,Ferrari,10 Jun 2018,Canada,68,1:28:31.377,SebastianVettel
986,Mercedes,24 Jun 2018,France,53,1:30:11.385,LewisHamilton
987,Red Bull Racing TAG Heuer,01 Jul 2018,Austria,71,1:21:56.024,MaxVerstappen
988,Ferrari,08 Jul 2018,Great Britain,52,1:27:29.784,SebastianVettel
989,Mercedes,22 Jul 2018,Germany,67,1:32:29.845,LewisHamilton
990,Mercedes,29 Jul 2018,Hungary,70,1:37:16.427,LewisHamilton
991,Ferrari,26 Aug 2018,Belgium,44,1:23:34.476,SebastianVettel
992,Mercedes,02 Sep 2018,Italy,53,1:16:54.484,LewisHamilton
993,Mercedes,16 Sep 2018,Singapore,61,1:51:11.611,LewisHamilton
994,Mercedes,30 Sep 2018,Russia,53,1:27:25.181,LewisHamilton
995,Mercedes,07 Oct 2018,Japan,53,1:27:17.062,LewisHamilton
